,날짜,SKU ID,SKU 명,바코드,발주가능상태,입고수량,쿠팡출고수량,쿠팡현재재고수량,자재번호,자재명,카테고리,입수,출고수량,재고수량
7776,2019-06-01,8171056,Pack_2080키즈 3스텝 칫솔 1입*12ea 공룡메카드 랜덤 발송,28801046261259,발주가능,0,108,758,5009240,182080키즈3스텝 칫솔1입(공룡메카드),덴탈케어,24,4.5,168.44444444444446
7777,2019-06-01,8171057,Pack_2080키즈 4스텝 칫솔 1입*12ea 랜덤 발송,28801046261280,발주가능,540,0,540,5009187,182080키즈칫솔 4단계 1입,덴탈케어,24,0.0,0.0
7778,2019-06-01,8215651,Pack_2080키즈 1스텝 칫솔 1입*12ea 호비 (랜덤 발송),28801046261266,발주가능,120,62,675,5008552,172080키즈칫솔 1단계 1입(호비),덴탈케어,24,2.5833333333333335,261.2903225806451
7779,2019-06-01,8245343,홈즈 에어후레쉬 KBO차량용 방향제 NC 2ml,8801046314814,발주가능,0,1,26,5009044,18 에어후레쉬 KBO차량용 NC 2ml,ST,10,0.1,260.0
7780,2019-06-01,8245344,홈즈 에어후레쉬 KBO차량용 방향제 넥센 2ml,8801046314821,발주가능,0,0,53,5009045,18 에어후레쉬 KBO차량용 넥센 2ml,ST,10,0.0,0.0
7781,2019-06-01,8246472,홈즈 에어후레쉬 KBO차량용 방향제 삼성 2ml,8801046314845,발주가능,0,0,29,5009047,18 에어후레쉬 KBO차량용 삼성 2ml,ST,10,0.0,0.0
7782,2019-06-01,8246473,홈즈 에어후레쉬 KBO차량용 방향제 KT 2ml,8801046314807,발주가능,0,1,23,5009043,18 에어후레쉬KBO차량용 KT 2ml,ST,10,0.1,230.0
7783,2019-06-01,8246474,홈즈 에어후레쉬 KBO차량용 방향제 SK 2ml,8801046314852,발주가능,0,1,27,5009048,18 에어후레쉬 KBO차량용 SK 2ml,ST,10,0.1,270.0
7784,2019-06-01,8246475,홈즈 에어후레쉬 KBO차량용 방향제 기아 2ml,8801046314791,발주가능,0,1,53,5009042,18 에어후레쉬 KBO차량용 기아 2ml,ST,10,0.1,530.0
7785,2019-06-01,8246476,홈즈 에어후레쉬 KBO차량용 방향제 롯데 2ml,8801046314838,발주가능,0,3,8,5009046,18 에어후레쉬 KBO차량용 롯데 2ml,ST,10,0.3,26.666666666666668
7786,2019-06-01,8246477,홈즈 에어후레쉬 KBO차량용 방향제 두산 2ml,8801046314777,발주가능,0,2,59,5009040,18 에어후레쉬 KBO차량용 두산 2ml,ST,10,0.2,295.0
7787,2019-06-01,8258646,홈즈 에어후레쉬 KBO차량용 방향제 한화 2ml,8801046314784,발주가능,0,0,22,5009041,18 에어후레쉬 KBO차량용 한화 2ml,ST,10,0.0,0.0
